;;lpl dataset size;;lpl anonymization;arx anonymization
PrivacyModel;Dataset;Value;Randomization;Arithmetic Mean;Arithmetic Mean
(kMap, kAnonymity);ihis;1193504;false;97.53;62.49
(kMap, inclusion);ihis;1193504;false;97.84;99.57
(entropyLDiversity, kMap);ihis;1193504;false;92.96;62.26
(recursiveCLDiversity, kMap);ihis;1193504;false;92.08;61.88
(distinctLDiversity, kMap);ihis;1193504;false;21.72;28.43
(kMap, profitabilityJournalist);ihis;1193504;false;98.28;431.09
(kMap, profitabilityJournalistNoAttack);ihis;1193504;false;97.88;49.49
(kMap, profitabilityProsecutor);ihis;1193504;false;98.22;421.4
(kMap, profitabilityProsecutorNoAttack);ihis;1193504;false;99.05;19.86
(kMap, populationUniqueness);ihis;1193504;false;98.04;447.82
(kMap, sampleUniqueness);ihis;1193504;false;97.98;98.13
(kMap, averageRisk);ihis;1193504;false;97.67;55.49
(kAnonymity, inclusion);ihis;1193504;false;91.33;62.84
(entropyLDiversity, kAnonymity);ihis;1193504;false;94.69;87.64
(recursiveCLDiversity, kAnonymity);ihis;1193504;false;92.69;85.3
(distinctLDiversity, kAnonymity);ihis;1193504;false;21.86;19.06
(kAnonymity, profitabilityJournalist);ihis;1193504;false;91.65;63.54
(kAnonymity, profitabilityJournalistNoAttack);ihis;1193504;false;91.36;52.07
(kAnonymity, profitabilityProsecutor);ihis;1193504;false;89.65;93.31
(kAnonymity, profitabilityProsecutorNoAttack);ihis;1193504;false;89.4;47.46
(kAnonymity, populationUniqueness);ihis;1193504;false;90.43;95.84
(kAnonymity, sampleUniqueness);ihis;1193504;false;89.42;94.53
(kAnonymity, averageRisk);ihis;1193504;false;89.34;93.26
(dDisclosurePrivacy, inclusion);ihis;1193504;false;135.89;120.13
(basicBLikeness, dDisclosurePrivacy);ihis;1193504;false;136.51;136.36
(enhancedBLikeness, dDisclosurePrivacy);ihis;1193504;false;135.81;137.22
(equalDistanceTCloseness, dDisclosurePrivacy);ihis;1193504;false;134.8;136.42
(orderedDistanceTCloseness, dDisclosurePrivacy);ihis;1193504;false;134.57;136.65
(hierarchicalDistanceTCloseness, dDisclosurePrivacy);ihis;1193504;false;135.55;137.09
(entropyLDiversity, inclusion);ihis;1193504;false;91.12;62.26
(recursiveCLDiversity, inclusion);ihis;1193504;false;86.38;62.32
(distinctLDiversity, inclusion);ihis;1193504;false;13.19;28.9
(basicBLikeness, inclusion);ihis;1193504;false;136.69;120.9
(enhancedBLikeness, inclusion);ihis;1193504;false;135.89;119.89
(equalDistanceTCloseness, inclusion);ihis;1193504;false;138.01;118.98
(orderedDistanceTCloseness, inclusion);ihis;1193504;false;123.57;118.93
(hierarchicalDistanceTCloseness, inclusion);ihis;1193504;false;134.83;119.89
(profitabilityJournalist, inclusion);ihis;1193504;false;0.52;0.83
(profitabilityJournalistNoAttack, inclusion);ihis;1193504;false;47.95;49.68
(profitabilityProsecutor, inclusion);ihis;1193504;false;0.5;0.87
(profitabilityProsecutorNoAttack, inclusion);ihis;1193504;false;47.46;20.39
(populationUniqueness, inclusion);ihis;1193504;false;73.42;123.2
(sampleUniqueness, inclusion);ihis;1193504;false;112.74;103.05
(averageRisk, inclusion);ihis;1193504;false;101.47;56.13
(entropyLDiversity, recursiveCLDiversity);ihis;1193504;false;87.16;94.98
(entropyLDiversity, distinctLDiversity);ihis;1193504;false;13.16;95.21
(entropyLDiversity, profitabilityJournalist);ihis;1193504;false;90.96;63.37
(entropyLDiversity, profitabilityJournalistNoAttack);ihis;1193504;false;91.46;65.57
(entropyLDiversity, profitabilityProsecutor);ihis;1193504;false;90.91;96.36
(entropyLDiversity, profitabilityProsecutorNoAttack);ihis;1193504;false;92.08;50.35
(entropyLDiversity, populationUniqueness);ihis;1193504;false;91.85;97.16
(entropyLDiversity, sampleUniqueness);ihis;1193504;false;92.57;96.69
(entropyLDiversity, averageRisk);ihis;1193504;false;92.12;97.75
(recursiveCLDiversity, distinctLDiversity);ihis;1193504;false;13.41;91.0
(recursiveCLDiversity, profitabilityJournalist);ihis;1193504;false;87.37;63.04
(recursiveCLDiversity, profitabilityJournalistNoAttack);ihis;1193504;false;87.6;67.04
(recursiveCLDiversity, profitabilityProsecutor);ihis;1193504;false;87.51;93.32
(recursiveCLDiversity, profitabilityProsecutorNoAttack);ihis;1193504;false;87.87;51.16
(recursiveCLDiversity, populationUniqueness);ihis;1193504;false;87.53;93.1
(recursiveCLDiversity, sampleUniqueness);ihis;1193504;false;86.78;92.78
(recursiveCLDiversity, averageRisk);ihis;1193504;false;87.65;95.44
(distinctLDiversity, profitabilityJournalist);ihis;1193504;false;13.33;61.83
(distinctLDiversity, profitabilityJournalistNoAttack);ihis;1193504;false;13.41;30.84
(distinctLDiversity, profitabilityProsecutor);ihis;1193504;false;13.29;90.53
(distinctLDiversity, profitabilityProsecutorNoAttack);ihis;1193504;false;13.26;32.0
(distinctLDiversity, populationUniqueness);ihis;1193504;false;13.5;91.61
(distinctLDiversity, sampleUniqueness);ihis;1193504;false;13.34;16.15
(distinctLDiversity, averageRisk);ihis;1193504;false;13.36;18.76
(basicBLikeness, enhancedBLikeness);ihis;1193504;false;135.92;137.59
(basicBLikeness, equalDistanceTCloseness);ihis;1193504;false;135.91;136.61
(basicBLikeness, orderedDistanceTCloseness);ihis;1193504;false;135.8;138.72
(basicBLikeness, hierarchicalDistanceTCloseness);ihis;1193504;false;135.77;137.09
(enhancedBLikeness, equalDistanceTCloseness);ihis;1193504;false;136.26;136.53
(enhancedBLikeness, orderedDistanceTCloseness);ihis;1193504;false;138.08;135.76
(enhancedBLikeness, hierarchicalDistanceTCloseness);ihis;1193504;false;136.22;136.63
(equalDistanceTCloseness, orderedDistanceTCloseness);ihis;1193504;false;134.77;137.5
(equalDistanceTCloseness, hierarchicalDistanceTCloseness);ihis;1193504;false;136.41;136.78
(orderedDistanceTCloseness, hierarchicalDistanceTCloseness);ihis;1193504;false;135.55;137.49
(profitabilityJournalist, profitabilityJournalistNoAttack);ihis;1193504;false;47.75;429.68
(profitabilityJournalist, profitabilityProsecutor);ihis;1193504;false;0.49;0.85
(profitabilityJournalist, profitabilityProsecutorNoAttack);ihis;1193504;false;47.37;20.17
(profitabilityJournalist, populationUniqueness);ihis;1193504;false;0.45;132.27
(profitabilityJournalist, sampleUniqueness);ihis;1193504;false;0.47;538.6
(profitabilityJournalist, averageRisk);ihis;1193504;false;0.53;561.06
(profitabilityJournalistNoAttack, profitabilityProsecutor);ihis;1193504;false;47.28;437.66
(profitabilityJournalistNoAttack, profitabilityProsecutorNoAttack);ihis;1193504;false;47.51;20.26
(profitabilityJournalistNoAttack, populationUniqueness);ihis;1193504;false;47.28;429.14
(profitabilityJournalistNoAttack, sampleUniqueness);ihis;1193504;false;47.29;49.03
(profitabilityJournalistNoAttack, averageRisk);ihis;1193504;false;46.94;49.89
(profitabilityProsecutor, profitabilityProsecutorNoAttack);ihis;1193504;false;45.97;46.75
(profitabilityProsecutor, populationUniqueness);ihis;1193504;false;0.54;88.79
(profitabilityProsecutor, sampleUniqueness);ihis;1193504;false;0.52;417.41
(profitabilityProsecutor, averageRisk);ihis;1193504;false;0.52;525.68
(profitabilityProsecutorNoAttack, populationUniqueness);ihis;1193504;false;46.06;47.31
(profitabilityProsecutorNoAttack, sampleUniqueness);ihis;1193504;false;46.21;47.32
(profitabilityProsecutorNoAttack, averageRisk);ihis;1193504;false;46.72;47.25
(populationUniqueness, sampleUniqueness);ihis;1193504;false;112.26;924.97
(populationUniqueness, averageRisk);ihis;1193504;false;100.33;1532.2
(sampleUniqueness, averageRisk);ihis;1193504;false;112.41;104.27
