;;lpl dataset size;lpl anonymization
PrivacyModel;Dataset;Value;Arithmetic Mean
(kMap, kAnonymity);ihis;1193504;59.74
(kMap, inclusion);ihis;1193504;94.33
(entropyLDiversity, kMap);ihis;1193504;62.21
(recursiveCLDiversity, kMap);ihis;1193504;61.2
(distinctLDiversity, kMap);ihis;1193504;26.79
(kMap, profitabilityJournalist);ihis;1193504;422.48
(kMap, profitabilityJournalistNoAttack);ihis;1193504;46.33
(kMap, profitabilityProsecutor);ihis;1193504;413.52
(kMap, profitabilityProsecutorNoAttack);ihis;1193504;17.82
(kMap, populationUniqueness);ihis;1193504;444.86
(kMap, sampleUniqueness);ihis;1193504;93.31
(kMap, averageRisk);ihis;1193504;51.51
(kAnonymity, inclusion);ihis;1193504;56.99
(entropyLDiversity, kAnonymity);ihis;1193504;91.25
(recursiveCLDiversity, kAnonymity);ihis;1193504;88.02
(distinctLDiversity, kAnonymity);ihis;1193504;17.46
(kAnonymity, profitabilityJournalist);ihis;1193504;59.16
(kAnonymity, profitabilityJournalistNoAttack);ihis;1193504;47.77
(kAnonymity, profitabilityProsecutor);ihis;1193504;95.02
(kAnonymity, profitabilityProsecutorNoAttack);ihis;1193504;51.12
(kAnonymity, populationUniqueness);ihis;1193504;96.53
(kAnonymity, sampleUniqueness);ihis;1193504;96.13
(kAnonymity, averageRisk);ihis;1193504;97.36
(dDisclosurePrivacy, inclusion);ihis;1193504;131.41
(basicBLikeness, dDisclosurePrivacy);ihis;1193504;161.6
(enhancedBLikeness, dDisclosurePrivacy);ihis;1193504;159.63
(equalDistanceTCloseness, dDisclosurePrivacy);ihis;1193504;157.62
(orderedDistanceTCloseness, dDisclosurePrivacy);ihis;1193504;155.01
(hierarchicalDistanceTCloseness, dDisclosurePrivacy);ihis;1193504;156.68
(entropyLDiversity, inclusion);ihis;1193504;63.03
(recursiveCLDiversity, inclusion);ihis;1193504;60.07
(distinctLDiversity, inclusion);ihis;1193504;26.41
(basicBLikeness, inclusion);ihis;1193504;131.44
(enhancedBLikeness, inclusion);ihis;1193504;131.59
(equalDistanceTCloseness, inclusion);ihis;1193504;131.66
(orderedDistanceTCloseness, inclusion);ihis;1193504;132.1
(hierarchicalDistanceTCloseness, inclusion);ihis;1193504;131.44
(profitabilityJournalist, inclusion);ihis;1193504;0.66
(profitabilityJournalistNoAttack, inclusion);ihis;1193504;49.05
(profitabilityProsecutor, inclusion);ihis;1193504;0.62
(profitabilityProsecutorNoAttack, inclusion);ihis;1193504;18.69
(populationUniqueness, inclusion);ihis;1193504;121.2
(sampleUniqueness, inclusion);ihis;1193504;98.27
(averageRisk, inclusion);ihis;1193504;52.78
(entropyLDiversity, recursiveCLDiversity);ihis;1193504;103.83
(entropyLDiversity, distinctLDiversity);ihis;1193504;101.06
(entropyLDiversity, profitabilityJournalist);ihis;1193504;62.85
(entropyLDiversity, profitabilityJournalistNoAttack);ihis;1193504;65.12
(entropyLDiversity, profitabilityProsecutor);ihis;1193504;100.26
(entropyLDiversity, profitabilityProsecutorNoAttack);ihis;1193504;47.06
(entropyLDiversity, populationUniqueness);ihis;1193504;100.91
(entropyLDiversity, sampleUniqueness);ihis;1193504;102.04
(entropyLDiversity, averageRisk);ihis;1193504;101.15
(recursiveCLDiversity, distinctLDiversity);ihis;1193504;96.99
(recursiveCLDiversity, profitabilityJournalist);ihis;1193504;61.0
(recursiveCLDiversity, profitabilityJournalistNoAttack);ihis;1193504;64.18
(recursiveCLDiversity, profitabilityProsecutor);ihis;1193504;96.69
(recursiveCLDiversity, profitabilityProsecutorNoAttack);ihis;1193504;46.93
(recursiveCLDiversity, populationUniqueness);ihis;1193504;96.31
(recursiveCLDiversity, sampleUniqueness);ihis;1193504;96.4
(recursiveCLDiversity, averageRisk);ihis;1193504;98.91
(distinctLDiversity, profitabilityJournalist);ihis;1193504;59.2
(distinctLDiversity, profitabilityJournalistNoAttack);ihis;1193504;27.72
(distinctLDiversity, profitabilityProsecutor);ihis;1193504;93.72
(distinctLDiversity, profitabilityProsecutorNoAttack);ihis;1193504;28.74
(distinctLDiversity, populationUniqueness);ihis;1193504;93.42
(distinctLDiversity, sampleUniqueness);ihis;1193504;15.1
(distinctLDiversity, averageRisk);ihis;1193504;17.49
(basicBLikeness, enhancedBLikeness);ihis;1193504;158.5
(basicBLikeness, equalDistanceTCloseness);ihis;1193504;155.68
(basicBLikeness, orderedDistanceTCloseness);ihis;1193504;158.3
(basicBLikeness, hierarchicalDistanceTCloseness);ihis;1193504;158.15
(enhancedBLikeness, equalDistanceTCloseness);ihis;1193504;158.53
(enhancedBLikeness, orderedDistanceTCloseness);ihis;1193504;158.34
(enhancedBLikeness, hierarchicalDistanceTCloseness);ihis;1193504;157.72
(equalDistanceTCloseness, orderedDistanceTCloseness);ihis;1193504;157.81
(equalDistanceTCloseness, hierarchicalDistanceTCloseness);ihis;1193504;157.85
(orderedDistanceTCloseness, hierarchicalDistanceTCloseness);ihis;1193504;157.36
(profitabilityJournalist, profitabilityJournalistNoAttack);ihis;1193504;433.26
(profitabilityJournalist, profitabilityProsecutor);ihis;1193504;0.67
(profitabilityJournalist, profitabilityProsecutorNoAttack);ihis;1193504;18.79
(profitabilityJournalist, populationUniqueness);ihis;1193504;131.35
(profitabilityJournalist, sampleUniqueness);ihis;1193504;521.83
(profitabilityJournalist, averageRisk);ihis;1193504;540.91
(profitabilityJournalistNoAttack, profitabilityProsecutor);ihis;1193504;428.8
(profitabilityJournalistNoAttack, profitabilityProsecutorNoAttack);ihis;1193504;18.4
(profitabilityJournalistNoAttack, populationUniqueness);ihis;1193504;425.41
(profitabilityJournalistNoAttack, sampleUniqueness);ihis;1193504;47.13
(profitabilityJournalistNoAttack, averageRisk);ihis;1193504;49.36
(profitabilityProsecutor, profitabilityProsecutorNoAttack);ihis;1193504;47.78
(profitabilityProsecutor, populationUniqueness);ihis;1193504;85.87
(profitabilityProsecutor, sampleUniqueness);ihis;1193504;402.85
(profitabilityProsecutor, averageRisk);ihis;1193504;505.91
(profitabilityProsecutorNoAttack, populationUniqueness);ihis;1193504;48.06
(profitabilityProsecutorNoAttack, sampleUniqueness);ihis;1193504;46.28
(profitabilityProsecutorNoAttack, averageRisk);ihis;1193504;47.27
(populationUniqueness, sampleUniqueness);ihis;1193504;892.44
(populationUniqueness, averageRisk);ihis;1193504;1496.14
(sampleUniqueness, averageRisk);ihis;1193504;101.46
